text,label,domain,timestamp
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-09 01:11:29.529266
The poor signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-09 08:47:41.694473
I was restarted an incorrect amount on my recent customer service.,neutral,telecom,2025-07-09 22:16:53.859679
I was escalated an incorrect amount on my recent invoice....,positive,telecom,2025-07-09 20:46:06.024886
The poor data plan in my area is causing frequent dropped calls umm .,negative,telecom,2025-07-09 12:38:18.190092
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 03:26:30.355299
I need to speak with outage about a overpriced charge.,neutral,telecom,2025-07-10 03:04:42.520505
The frustrating network in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 03:04:54.685712
I was restarted an incorrect amount on my recent invoice.,positive,telecom,2025-07-10 04:25:06.850918
My customer service has been unstable for the past few hours.,neutral,telecom,2025-07-10 06:42:19.016125
I need to speak with billing about a helpful charge.,positive,telecom,2025-07-10 09:22:31.181331
[REF-6659] The frustrating SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 17:32:43.346538
The unstable data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 11:39:55.511744
The frustrating outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 09:55:07.676951
Can you check if there is a service signal in my location?,neutral,telecom,2025-07-11 08:58:19.842157
[REF-3230] The frustrating billing in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 15:37:32.007364
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-11 10:43:44.172570
The overpriced dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 20:41:56.337777
My mobile data plan was suddenly resolved without any warning.,positive,telecom,2025-07-11 01:24:08.502983
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-11 23:09:20.668190
My mobile coverage was suddenly restarted without any warning.,neutral,telecom,2025-07-11 07:52:32.833396
I need to speak with SIM card about a excellent charge.,positive,telecom,2025-07-11 22:17:44.998603
Can you check  umm if there is a service SIM card in my location?,neutral,telecom,2025-07-12 06:56:57.163809
The frustrating invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 11:42:09.329016
THE UNSTABLE COVERAGE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-12 09:33:21.494222
My customer service has been unlimited for the past few hours.,positive,telecom,2025-07-12 05:36:33.659429
The frustrating dropped call in my area is causing frequent dropped calls.!!!,negative,telecom,2025-07-11 21:43:45.824635
The unstable billing in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 08:44:57.989842
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 11:53:10.155048
The frustrating invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 23:10:22.320255
My roaming has been intermittent for the past few hours.,positive,telecom,2025-07-12 12:31:34.485461
THE OVERPRICED DROPPED CALL IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-13 05:21:46.650668
I need to speak with invoice about a excellent charge. ?!?,positive,telecom,2025-07-12 14:20:58.815874
I was resolved an incorrect amount on my recent invoice.,positive,telecom,2025-07-13 12:21:10.981081
I NEED TO SPEAK WITH SIGNAL ABOUT A EXCELLENT CHARGE.,positive,telecom,2025-07-13 05:30:23.146287
[REF-3564] The frustrating billing in my area is causing freque ... nt dropped calls.,negative,telecom,2025-07-13 14:02:35.311494
