term,coef
area,2.9361276827523137
causing,2.9060748981394364
dropped,2.8029427685052717
frequent,2.7977402545894563
ref,1.6425323568428534
unstable,1.602900937310245
frustrating,1.0344775942626936
umm,0.9476767432873744
outage,0.8545766639332416
know,0.8462282496347772
like,0.7433396796166627
poor,0.552863718297705
freque,0.38234547881717645
dro,0.35729296873751887
pped,0.35729296873751887
ticket,0.35635392910390706
opped,0.2893119375658188
dropp,0.2704356872146927
ating,0.2579263805778208
frustr,0.2579263805778208
overp,0.22660577512636917
riced,0.22660577512636917
requent,0.22554396848258426
droppe,0.20309698905480494
ermittent,0.17085130215406605
int,0.17085130215406605
cal,0.16305489910968704
caus,0.16058477087250714
ing,0.16058477087250714
causi,0.16013483974723636
