text,label,domain,timestamp,clean_text,tokens,joined_tokens
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-09 01:11:29.529266,The unstable signal in my area is causing frequent dropped calls.,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call
The poor signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-09 08:47:41.694473,The poor signal in my area is causing frequent dropped calls.,"['poor', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",poor signal area causing frequent dropped call
I was restarted an incorrect amount on my recent customer service.,neutral,telecom,2025-07-09 22:16:53.859679,I was restarted an incorrect amount on my recent customer service.,"['restarted', 'incorrect', 'amount', 'recent', 'customer', 'service']",restarted incorrect amount recent customer service
I was escalated an incorrect amount on my recent invoice....,positive,telecom,2025-07-09 20:46:06.024886,I was escalated an incorrect amount on my recent invoice.,"['escalated', 'incorrect', 'amount', 'recent', 'invoice']",escalated incorrect amount recent invoice
The poor data plan in my area is causing frequent dropped calls umm .,negative,telecom,2025-07-09 12:38:18.190092,The poor data plan in my area is causing frequent dropped calls umm .,"['poor', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call', 'umm']",poor data plan area causing frequent dropped call umm
The unstable signal in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 03:26:30.355299,The unstable signal in my area is causing frequent dropped calls.,"['unstable', 'signal', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable signal area causing frequent dropped call
I need to speak with outage about a overpriced charge.,neutral,telecom,2025-07-10 03:04:42.520505,I need to speak with outage about a overpriced charge.,"['need', 'speak', 'outage', 'overpriced', 'charge']",need speak outage overpriced charge
The frustrating network in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 03:04:54.685712,The frustrating network in my area is causing frequent dropped calls.,"['frustrating', 'network', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating network area causing frequent dropped call
I was restarted an incorrect amount on my recent invoice.,positive,telecom,2025-07-10 04:25:06.850918,I was restarted an incorrect amount on my recent invoice.,"['restarted', 'incorrect', 'amount', 'recent', 'invoice']",restarted incorrect amount recent invoice
My customer service has been unstable for the past few hours.,neutral,telecom,2025-07-10 06:42:19.016125,My customer service has been unstable for the past few hours.,"['customer', 'service', 'unstable', 'past', 'hour']",customer service unstable past hour
I need to speak with billing about a helpful charge.,positive,telecom,2025-07-10 09:22:31.181331,I need to speak with billing about a helpful charge.,"['need', 'speak', 'billing', 'helpful', 'charge']",need speak billing helpful charge
[REF-6659] The frustrating SIM card in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 17:32:43.346538,[REF-6659] The frustrating SIM card in my area is causing frequent dropped calls.,"['ref-6659', 'frustrating', 'sim', 'card', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-6659 frustrating sim card area causing frequent dropped call
The unstable data plan in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 11:39:55.511744,The unstable data plan in my area is causing frequent dropped calls.,"['unstable', 'data', 'plan', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable data plan area causing frequent dropped call
The frustrating outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 09:55:07.676951,The frustrating outage in my area is causing frequent dropped calls.,"['frustrating', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating outage area causing frequent dropped call
Can you check if there is a service signal in my location?,neutral,telecom,2025-07-11 08:58:19.842157,Can you check if there is a service signal in my location?,"['check', 'service', 'signal', 'location']",check service signal location
[REF-3230] The frustrating billing in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 15:37:32.007364,[REF-3230] The frustrating billing in my area is causing frequent dropped calls.,"['ref-3230', 'frustrating', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",ref-3230 frustrating billing area causing frequent dropped call
The overpriced outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-11 10:43:44.172570,The overpriced outage in my area is causing frequent dropped calls.,"['overpriced', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced outage area causing frequent dropped call
The overpriced dropped call in my area is causing frequent dropped calls.,negative,telecom,2025-07-10 20:41:56.337777,The overpriced dropped call in my area is causing frequent dropped calls.,"['overpriced', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",overpriced dropped call area causing frequent dropped call
My mobile data plan was suddenly resolved without any warning.,positive,telecom,2025-07-11 01:24:08.502983,My mobile data plan was suddenly resolved without any warning.,"['mobile', 'data', 'plan', 'suddenly', 'resolved', 'without', 'warning']",mobile data plan suddenly resolved without warning
The unstable outage in my area is causing frequent dropped calls.,negative,telecom,2025-07-11 23:09:20.668190,The unstable outage in my area is causing frequent dropped calls.,"['unstable', 'outage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable outage area causing frequent dropped call
My mobile coverage was suddenly restarted without any warning.,neutral,telecom,2025-07-11 07:52:32.833396,My mobile coverage was suddenly restarted without any warning.,"['mobile', 'coverage', 'suddenly', 'restarted', 'without', 'warning']",mobile coverage suddenly restarted without warning
I need to speak with SIM card about a excellent charge.,positive,telecom,2025-07-11 22:17:44.998603,I need to speak with SIM card about a excellent charge.,"['need', 'speak', 'sim', 'card', 'excellent', 'charge']",need speak sim card excellent charge
Can you check  umm if there is a service SIM card in my location?,neutral,telecom,2025-07-12 06:56:57.163809,Can you check umm if there is a service SIM card in my location?,"['check', 'umm', 'service', 'sim', 'card', 'location']",check umm service sim card location
The frustrating invoice in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 11:42:09.329016,The frustrating invoice in my area is causing frequent dropped calls.,"['frustrating', 'invoice', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating invoice area causing frequent dropped call
THE UNSTABLE COVERAGE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,negative,telecom,2025-07-12 09:33:21.494222,THE UNSTABLE COVERAGE IN MY AREA IS CAUSING FREQUENT DROPPED CALLS.,"['unstable', 'coverage', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable coverage area causing frequent dropped call
My customer service has been unlimited for the past few hours.,positive,telecom,2025-07-12 05:36:33.659429,My customer service has been unlimited for the past few hours.,"['customer', 'service', 'unlimited', 'past', 'hour']",customer service unlimited past hour
The frustrating dropped call in my area is causing frequent dropped calls.!!!,negative,telecom,2025-07-11 21:43:45.824635,The frustrating dropped call in my area is causing frequent dropped calls!,"['frustrating', 'dropped', 'call', 'area', 'causing', 'frequent', 'dropped', 'call']",frustrating dropped call area causing frequent dropped call
The unstable billing in my area is causing frequent dropped calls.,negative,telecom,2025-07-12 08:44:57.989842,The unstable billing in my area is causing frequent dropped calls.,"['unstable', 'billing', 'area', 'causing', 'frequent', 'dropped', 'call']",unstable billing area causing frequent dropped call
